0,99,
1,99,
2,98,
3,96,
4,95,
5,94,
6,96,
7,97,
8,99,
9,100,
10,102,
11,101,
12,102,
13,101,
14,95,
15,92,
16,95,
17,97,
18,99,
19,98,
20,100,
21,97,
22,94,
23,90,
24,87,
25,90,
26,90,
27,89,
28,88,
29,84,
30,81,
31,83,
32,84,
33,83,
34,86,
35,83,
36,83,"miss a peak, small threshold"
37,84,
38,85,
39,86,
40,89,
41,87,
42,89,
43,89,
44,89,
45,91,
46,98,
47,102,
48,103,
49,101,
50,103,
51,104,
52,102,
53,104,
54,106,
55,104,
56,100,
57,93,
58,84,
59,84,
60,86,
61,91,
62,91,
63,87,
64,93,
65,92,
66,92,
67,91,
68,88,
69,87,
70,87,
71,87,
72,88,
73,89,
74,87,
75,88,
76,86,
77,85,
78,87,
79,85,
80,87,
81,88,
82,88,
83,89,
84,86,
85,86,
86,86,
87,86,
88,86,
89,86,
90,86,
91,87,
92,85,
93,86,
94,88,
95,90,
96,92,
97,91,
98,88,
99,90,
100,91,
101,91,
102,91,
103,92,
104,91,
105,89,
106,88,
107,90,
108,89,
109,87,
110,86,
111,82,
112,83,
113,88,
114,91,
115,93,
116,94,
117,93,
118,92,
119,94,
120,94,
121,95,
122,96,
123,95,"miss a peak, small threshold"
124,97,
125,98,
126,100,
127,99,
128,96,
129,92,
130,89,
131,90,
132,95,
133,92,
134,94,
135,94,
136,93,
137,94,
138,95,
139,97,
140,97,
141,100,
142,101,
143,101,
144,102,
145,104,
146,105,
147,103,
148,102,
149,95,
150,91,
151,90,
152,94,
153,94,
154,94,
155,96,
156,98,
157,97,
158,97,
159,98,
160,100,
161,103,
162,102,
163,93,
164,86,
165,88,
166,92,
167,95,
168,97,
169,96,
170,94,
171,91,
172,90,
173,90,
174,95,
175,99,
176,98,
177,94,
178,91,
179,94,
180,93,
181,92,
182,91,
183,88,
184,83,
185,83,
186,83,
187,84,
188,85,
189,88,
190,88,
191,88,
192,92,
193,91,
194,91,
195,93,
196,94,
197,97,
198,96,
199,93,
200,86,
201,84,
202,83,
203,83,
204,85,
205,83,
206,84,
207,87,
208,88,
209,84,
210,86,
211,87,
212,92,
213,89,
214,87,
215,90,
216,95,
217,97,
218,94,
219,91,
220,91,
221,93,
222,95,
223,98,
224,97,
225,96,
226,88,
227,82,
228,82,
229,82,
230,81,
231,88,
232,94,
233,99,
234,95,
235,90,
236,90,
237,93,
238,94,
239,97,
240,95,
241,95,
242,96,
243,94,
244,91,
245,90,
246,90,
247,89,
248,91,
249,93,
250,92,
251,92,
252,95,
253,95,
254,94,
255,94,
256,94,
257,93,
258,92,
259,93,
260,95,
261,97,
262,102,
263,98,
264,91,
265,89,
266,90,
267,95,
268,100,
269,100,
270,97,
271,92,
272,89,
273,93,
274,93,
275,95,
276,93,
277,95,
278,95,
279,96,
280,102,
281,102,
282,100,
283,98,
284,97,
285,101,
286,102,
287,101,
288,100,
289,99,
290,95,
291,93,
292,94,
293,94,
294,98,
295,98,
296,96,
297,97,
298,98,
299,98,
300,97,
301,97,
302,98,
303,98,
304,93,
305,96,
306,98,
307,91,
308,87,
309,86,
310,87,
311,92,
